Title,Price,No. Reviews,Display size,Storage type,CPU Speed,RAM,Rating
"Dell Inspiron 3501 15.6 Inch FHD (1920 x 1080) Laptop, Intel Core i5-1135G7 Processor (4.2 GHz), 8 GB RAM, 256 GB NVMe SSD, Waves MaxxAudio Pro, Windows 10 Home",599.0,60,15.6 in,Flash Memory Solid State,4.2 GHz,8 GB,4.5 out of 5 stars
"CHUWI HeroBook Pro Laptop, 14.1'' FHD (1920x1080) IPS Display, 8GB RAM, 256GB SSD, Intel Gemini Lake N4000 (UP to 2.6GHZ), Windows 10 OS, 4K Video Decoding, Support 1T SSD, 2.4G WiFi, HDMI",349.0,485,14.1 in,SSD,1.1 GHz,8 GB,4.0 out of 5 stars
LincPlus P3 Laptop 14 inch Full HD Netbook Intel Celeron N3350 Processor 4GB RAM 64GB Storage Windows 10 in S Mode Notebook White,239.0,304,14 in,SATA,1.1 GHz,4 GB,4.1 out of 5 stars
"CHUWI Hi10 X Tablet PC, 10.1 inch 1200*1920 IPS Touch Screen with Windows 10 OS (intel Gemini-Lake N4120) Quad-Cores, 6GB RAM+128GB ROM, Wifi,With Keyboard and Stylus",279.0,113,10.1 in,SATA,1.1 GHz,6 GB,3.8 out of 5 stars
"HUAWEI MateBook D 15 - 15.6 Inch Laptop with FullView 1080P FHD Ultrabook PC (AMD Ryzen 5 3500U, 8GB RAM, 256GB SSD, Windows 10 Home, Multi-screen Collaboration, Fingerprint Reader), Space Grey",549.99,"2,269",15.6 in,Flash Memory Solid State,3.4,8 GB,4.7 out of 5 stars
"Lenovo IdeaPad 5 15.6 Inch FHD Laptop - (AMD Ryzen 7, 8 GB RAM, 512 GB SSD, Windows 10 Home S Mode) - Platinum Grey",629.0,9,15.6 in,Flash Memory Solid State,2 GHz,8 GB,5.0 out of 5 stars
"15.6 inch Laptop (Intel Celeron 64-bit, 6GB DDR3 RAM, 128GB SSD, 10000mAH battery, HD webcam, Windows 10 OS Preinstalled, 1920 * 1080 FHD IPS display) Notebook",302.99,71,15.6 in,SSD,1.5 GHz,6 GB,3.5 out of 5 stars
"Acer Swift 1 SF114-33 14 inch Laptop - (Intel Pentium N6000, 4GB RAM, 128GB SSD, Full HD Display, Windows 10 in S Mode, Silver)",399.99,370,14 in,Flash Memory Solid State,2.5 GHz,4 GB,4.6 out of 5 stars
"LG gram 17Z90P - 17 inch Ultra-Lightweight Laptop, 16:10 Large screen, WQXGA (2560x1600), DCI-P3 99%, Intel evo POWERED BY CORE i7 processor, 16GB/512GB, Alexa built-in, 80Wh Battery, Thunderbolt 4",1299.0,97,17 in,ssd,-,16 GB,4.5 out of 5 stars
"New Quad Turbo Laptop, AMD RX Vega Graphics, HD SSD, 4GB Ram, Long Batt Life, Win 10 Pro, Office 2019 Pro Plus",398.88,2,14 in,SSD,3.6 GHz,4 GB,5.0 out of 5 stars
